sample_id,frequency_hz,candidate,candidate_method,config,solver,sensor_count,measurement_channels,equivalent_source_points,unknown_count,channel_unknown_ratio,l2_lambda,group_alpha_frac,effective_rank,rank_ratio,stable_condition,solver_iterations,solver_converged,solver_rel_change,lambda_max,group_lambda,lipschitz,relative_residual,active_sources,active_fraction,peak_source_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,center_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.003,81,1.0,1900.925247575812,500,0,0.001413098655031484,0.00033822896265223504,1.014686887956705e-06,9.064637395252129,0.6072790944614187,27,1.0,0.007361651037955359,0.0,-0.1,4.1,0.14142135623730925,0.08800627316506508,0.3076976535114283,0.7344196987876829,39.9745936890198,18.448020780765827
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.001,81,1.0,1900.925247575812,500,0,0.0021053423255112083,0.00033822896265223504,3.3822896265223503e-07,9.064637395252129,0.5941502610038372,27,1.0,0.008062343938226446,0.0,-0.1,4.1,0.14142135623730925,0.0755547553943107,0.3329912771509111,0.7359124808142118,39.9745936890198,18.83823108152872
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.0003,81,1.0,1900.925247575812,500,0,0.0023380365976905675,0.00033822896265223504,1.014686887956705e-07,9.064637395252129,0.5900178820612657,27,1.0,0.008298238555704954,0.0,-0.1,4.1,0.14142135623730925,0.07256393519353554,0.34253328838575947,0.7357958851647552,39.9745936890198,18.974341870279584
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,0.0001,0.0001,81,1.0,1900.925247575812,500,0,0.0024010913739072113,0.00033822896265223504,3.3822896265223503e-08,9.064637395252129,0.5888842554832869,27,1.0,0.008364939689347334,0.0,-0.1,4.1,0.14142135623730925,0.07181333890494586,0.3452732699096312,0.7357021815008434,39.9745936890198,19.012661436236
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,tikhonov,162,324,27,81,4.0,1e-05,0.0,81,1.0,1900.925247575812,0,1,0.0,0.00033822896265223504,0.0,,0.5286402202888242,27,1.0,0.02432229231484563,0.0,0.0,4.0,0.0,0.07648218814751219,0.3218276920664837,0.7838063394806698,39.9745936890198,19.599220847156925
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,1e-05,0.3,81,1.0,1900.925247575812,301,1,3.563329499038859e-07,0.00033822896265223504,0.00010146868879567051,9.064547395252129,0.9099325087459902,2,0.07407407407407407,0.0007583925209174804,0.0,0.0,4.1,0.09999999999999964,0.47123113346339707,0.5567914711727295,0.03303184742650249,0.0,8.675522994295386
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,1e-05,0.1,81,1.0,1900.925247575812,500,0,9.31096009645638e-05,0.00033822896265223504,3.3822896265223505e-05,9.064547395252129,0.7890108110976648,23,0.8518518518518519,0.001746443614298101,0.0,0.0,4.1,0.09999999999999964,0.21297696611593256,0.3746300054147728,0.43663218801096787,55.52664529916034,12.928413895785788
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,1e-05,0.03,81,1.0,1900.925247575812,500,0,0.00035530547766382715,0.00033822896265223504,1.0146868879567051e-05,9.064547395252129,0.7012658167260719,19,0.7037037037037037,0.0045136471342371596,0.0,0.0,4.0,0.0,0.23827451757397794,0.25741557369068874,0.61921899337327,54.0508731810745,15.19735407089161
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,1e-05,0.01,81,1.0,1900.925247575812,500,0,0.0013405219280316542,0.00033822896265223504,3.3822896265223505e-06,9.064547395252129,0.648497273917063,27,1.0,0.005293049042143314,0.0,0.0,4.0,0.0,0.13311828816899302,0.25563213861078476,0.709069554455917,49.970421136125076,17.2969561927978
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,compact_cube_3x3x3,group_sparse,162,324,27,81,4.0,1e-05,0.003,81,1.0,1900.925247575812,500,0,0.0017908179321063375,0.00033822896265223504,1.014686887956705e-06,9.064547395252129,0.6012292853915019,27,1.0,0.007972430610333496,0.0,-0.1,4.1,0.14142135623730925,0.08532355514911386,0.314338530364629,0.7383974462328872,39.9745936890198,18.63404654574096
