candidate,method,sensor_count,selection_order,sensor_id,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,polarization_channels
full_grid_162,full_grid,162,117,117,-11.876090949353811,1.4544016767508997e-15,5.287576359985403,66.0,180.0,13.0,theta;phi
full_grid_162,full_grid,162,118,118,-11.159875028890092,-4.061862328646667,5.287576359985403,66.0,200.0,13.0,theta;phi
full_grid_162,full_grid,162,119,119,-9.097613477728077,-7.633804113755079,5.287576359985403,66.0,220.0,13.0,theta;phi
full_grid_162,full_grid,162,120,120,-5.938045474676911,-10.28499645979485,5.287576359985403,66.0,239.99999999999997,13.0,theta;phi
full_grid_162,full_grid,162,121,121,-2.062261551162014,-11.695666442401746,5.287576359985403,66.0,260.0,13.0,theta;phi
full_grid_162,full_grid,162,122,122,2.0622615511620097,-11.695666442401748,5.287576359985403,66.0,280.0,13.0,theta;phi
full_grid_162,full_grid,162,123,123,5.938045474676907,-10.284996459794852,5.287576359985403,66.0,300.0,13.0,theta;phi
full_grid_162,full_grid,162,124,124,9.097613477728073,-7.633804113755083,5.287576359985403,66.0,320.0,13.0,theta;phi
full_grid_162,full_grid,162,125,125,11.159875028890086,-4.061862328646677,5.287576359985403,66.0,339.99999999999994,13.0,theta;phi
full_grid_162,full_grid,162,126,126,12.613844441587954,0.0,3.14498464279568,76.0,0.0,13.0,theta;phi
full_grid_162,full_grid,162,127,127,11.853136541501549,4.314188883799601,3.14498464279568,76.0,20.0,13.0,theta;phi
full_grid_162,full_grid,162,128,128,9.66276544084566,8.10802291756616,3.14498464279568,76.0,40.0,13.0,theta;phi
