sensor_id,node_id,component,probe_x_m,probe_y_m,probe_z_m,cst_probe_item,item_x_m,item_y_m,item_z_m,distance_m,status,result_ids,result_id,frequency_index,n_points,target_frequency_ghz,selected_frequency_ghz,frequency_error_ghz,h_real,h_imag,error
22,22,Hy,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\H-Field\H-Field (-0.243405 0.169355 4.18594)(Y) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,8.888117782466e-06,4.783479177665e-06,
22,22,Hz,-0.24340525432,0.169355036132,4.1859375,1D Results\Probes\H-Field\H-Field (-0.243405 0.169355 4.18594)(Z) [1],-0.243405,0.169355,4.18594,2.513162188913e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-8.237656204771e-06,-4.525601467910e-06,
23,23,Hx,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\H-Field\H-Field (0.0660583 -0.293636 4.17865)(X) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.061317058893e-13,1.136142540134e-11,
23,23,Hy,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\H-Field\H-Field (0.0660583 -0.293636 4.17865)(Y) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,8.421258867658e-06,4.829695130172e-06,
23,23,Hz,0.0660583014145,-0.293635772764,4.17864583333,1D Results\Probes\H-Field\H-Field (0.0660583 -0.293636 4.17865)(Z) [1],0.0660583,-0.293636,4.17865,4.172861978375e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.487357742367e-05,8.318817749261e-06,
24,24,Hx,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\H-Field\H-Field (0.151732 0.264793 4.17135)(X) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-3.996333134756e-12,2.506896692868e-11,
24,24,Hy,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\H-Field\H-Field (0.151732 0.264793 4.17135)(Y) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.982378691091e-06,4.906407333776e-06,
24,24,Hz,0.151732035639,0.264792633823,4.17135416667,1D Results\Probes\H-Field\H-Field (0.151732 0.264793 4.17135)(Z) [1],0.151732,0.264793,4.17135,4.182881138199e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.303189700991e-05,-7.113708037772e-06,
25,25,Hx,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\H-Field\H-Field (-0.29454 -0.0939663 4.16406)(X) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,1.466256341810e-11,-4.009199802424e-11,
25,25,Hy,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\H-Field\H-Field (-0.29454 -0.0939663 4.16406)(Y) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.837384754064e-06,4.612454476799e-06,
25,25,Hz,-0.294540031094,-0.0939663034128,4.1640625,1D Results\Probes\H-Field\H-Field (-0.29454 -0.0939663 4.16406)(Z) [1],-0.29454,-0.0939663,4.16406,2.500195689054e-06,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,4.884123347205e-06,2.748435322774e-06,
26,26,Hx,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\H-Field\H-Field (0.284072 -0.131248 4.15677)(X) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-7.605946692362e-12,4.037048432175e-11,
26,26,Hy,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\H-Field\H-Field (0.284072 -0.131248 4.15677)(Y) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.611222445614e-06,4.326761760983e-06,
26,26,Hz,0.28407177367,-0.131248364636,4.15677083333,1D Results\Probes\H-Field\H-Field (0.284072 -0.131248 4.15677)(Z) [1],0.284072,-0.131248,4.15677,9.373492258584e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,6.417360973530e-06,3.673976083492e-06,
27,27,Hx,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(X) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,8.557666662313e-12,-1.467588525942e-11,
27,27,Hy,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(Y) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,7.154274282986e-06,4.177387613637e-06,
27,27,Hz,-0.122178408413,0.291939060851,4.14947916667,1D Results\Probes\H-Field\H-Field (-0.122178 0.291939 4.14948)(Z) [1],-0.122178,0.291939,4.14948,9.300230702126e-07,value_read,3D:RunID:0,3D:RunID:0,500,1001,1.2,1.2,0.0,-1.467138919789e-05,-7.924014233637e-06,
