sensor_id,sample_surface,x_m,y_m,z_m,theta_deg,phi_deg,radius_m,e_theta_x,e_theta_y,e_theta_z,e_phi_x,e_phi_y,e_phi_z,intended_monitor_kind,coordinate_unit,angle_unit,field_components_required
28,upper_hemisphere_2pi,-3.367187060564261,-1.2255558632516992,12.496402047198146,16.000000000000004,200.0,13.0,-0.903290522317386,-0.3287708630182991,-0.2756373558169992,0.3420201433256686,-0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
29,upper_hemisphere_2pi,-2.74495604161507,-2.3032916021170515,12.496402047198146,16.000000000000004,220.0,13.0,-0.7363691805566739,-0.6178871078154209,-0.2756373558169992,0.6427876096865393,-0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
30,upper_hemisphere_2pi,-1.7916428128104964,-3.103216380803392,12.496402047198146,16.000000000000004,240.0,13.0,-0.4806308479691599,-0.8324770483674967,-0.2756373558169992,0.8660254037844385,-0.5000000000000004,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
31,upper_hemisphere_2pi,-0.6222310189491913,-3.528847465368751,12.496402047198146,16.000000000000004,260.0,13.0,-0.1669213417607119,-0.9466579708337202,-0.2756373558169992,0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
32,upper_hemisphere_2pi,0.62223101894919,-3.528847465368752,12.496402047198146,16.000000000000004,280.0,13.0,0.1669213417607116,-0.9466579708337204,-0.2756373558169992,0.984807753012208,0.1736481776669299,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
33,upper_hemisphere_2pi,1.791642812810495,-3.103216380803392,12.496402047198146,16.000000000000004,300.0,13.0,0.4806308479691595,-0.8324770483674968,-0.2756373558169992,0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
34,upper_hemisphere_2pi,2.7449560416150693,-2.3032916021170524,12.496402047198146,16.000000000000004,320.0,13.0,0.7363691805566737,-0.6178871078154212,-0.2756373558169992,0.6427876096865396,0.7660444431189778,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
35,upper_hemisphere_2pi,3.36718706056426,-1.225555863251702,12.496402047198146,16.000000000000004,339.99999999999994,13.0,0.9032905223173856,-0.3287708630182999,-0.2756373558169992,0.3420201433256694,0.939692620785908,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
36,upper_hemisphere_2pi,5.698824908258007,0.0,11.68432260188917,26.000000000000004,0.0,13.0,0.8987940462991669,0.0,-0.4383711467890774,-0.0,1.0,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
37,upper_hemisphere_2pi,5.355143713440981,1.9491129119102943,11.68432260188917,26.000000000000004,20.0,13.0,0.8445901329136353,0.3074056685354988,-0.4383711467890774,-0.3420201433256687,0.9396926207859084,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
38,upper_hemisphere_2pi,4.365553153279065,3.663134040801276,11.68432260188917,26.000000000000004,40.0,13.0,0.6885161846758983,0.5777336766211342,-0.4383711467890774,-0.6427876096865393,0.766044443118978,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
39,upper_hemisphere_2pi,2.849412454129004,4.935327142270957,11.68432260188917,26.000000000000004,59.99999999999999,13.0,0.4493970231495836,0.7783784768652854,-0.4383711467890774,-0.8660254037844386,0.5000000000000001,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
40,upper_hemisphere_2pi,0.9895905601619148,5.61224695271157,11.68432260188917,26.000000000000004,80.0,13.0,0.156073948237737,0.8851393451566331,-0.4383711467890774,-0.984807753012208,0.1736481776669304,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
41,upper_hemisphere_2pi,-0.9895905601619142,5.61224695271157,11.68432260188917,26.000000000000004,100.0,13.0,-0.1560739482377369,0.8851393451566331,-0.4383711467890774,-0.984807753012208,-0.1736481776669303,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
42,upper_hemisphere_2pi,-2.849412454129002,4.935327142270958,11.68432260188917,26.000000000000004,120.0,13.0,-0.4493970231495832,0.7783784768652855,-0.4383711467890774,-0.8660254037844387,-0.4999999999999998,0.0,true_nearfield_field_monitor,m,deg,Ex;Ey;Ez complex
