sample_id,grid_index,theta_deg,phi_deg,radius_m,frequency_hz,e_theta_real,e_theta_imag,e_phi_real,e_phi_imag,power,source_config,carrier_model,working_state,cst_project,cst_farfield_item,extraction_method
L1_short_dipole_x_1p2G,44,2.0,220.0,13.0,1200000000,0.0001480904181605413,-3.420157051374503e-05,-0.0001243370517834799,2.871575444882865e-05,3.938481637634384e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,45,2.0,225.0,13.0,1200000000,0.000136702630481758,-3.154524585527662e-05,-0.0001367846589298254,3.156421326209389e-05,3.938905419410553e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,46,2.0,230.0,13.0,1200000000,0.0001242731129794514,-2.865444842933879e-05,-0.0001481919182563329,3.416960015729627e-05,3.939329023579427e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,47,2.0,235.0,13.0,1200000000,0.0001108964361897987,-2.555128933585692e-05,-0.0001584717918058122,3.651301367359591e-05,3.939739691199566e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,48,2.0,240.0,13.0,1200000000,9.667441802299929e-05,-2.225933331445512e-05,-0.0001675458207005045,3.857755123913717e-05,3.940125051350348e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,49,2.0,245.0,13.0,1200000000,8.1715348431572e-05,-1.880342097978651e-05,-0.0001753447290459583,4.034840948802102e-05,3.940473496224985e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,50,2.0,250.0,13.0,1200000000,6.61331636506784e-05,-1.520948623754898e-05,-0.0001818089577628157,4.181296930399822e-05,3.9407745330876e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,51,2.0,255.0,13.0,1200000000,5.004657634612709e-05,-1.150437007484013e-05,-0.0001868891240827712,4.29608657827865e-05,3.941019102401965e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,52,2.0,260.0,13.0,1200000000,3.357816837538323e-05,-7.715631803424985e-06,-0.0001905464030230698,4.378404337299338e-05,3.941199852468992e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,53,2.0,265.0,13.0,1200000000,1.685345318273689e-05,-3.871358721454748e-06,-0.000192752827765722,4.427679649764022e-05,3.941311362230842e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,54,2.0,270.0,13.0,1200000000,-8.489145804313725e-11,2.494692279813989e-11,-0.000193491506507864,4.443579597605611e-05,3.941350305471629e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,55,2.0,275.0,13.0,1200000000,-1.685396690877528e-05,3.869949069410048e-06,-0.0001927567540130575,4.426010156210258e-05,3.941315551429992e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,56,2.0,280.0,13.0,1200000000,-3.357970362240734e-05,7.709887895850417e-06,-0.0001905541367734025,4.375116089275148e-05,3.941208198765532e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,57,2.0,285.0,13.0,1200000000,-5.004978007015544e-05,1.149154899753435e-05,-0.0001869004313835714,4.29127951049656e-05,3.941031541851951e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,58,2.0,290.0,13.0,1200000000,-6.613863277355939e-05,1.518706027325168e-05,-0.0001818234964233871,4.175117133316908e-05,3.940790970421624e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,59,2.0,295.0,13.0,1200000000,-8.172361190238303e-05,1.876915445950715e-05,-0.0001753620588394793,4.027476224918958e-05,3.94049380561459e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,60,2.0,300.0,13.0,1200000000,-9.668592088415723e-05,2.221135058005137e-05,-0.0001675654165022342,3.849429275624796e-05,3.940149077417841e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,61,2.0,305.0,13.0,1200000000,-0.000110911526122021,2.548813174638382e-05,-0.0001584930592854372,3.642267390343183e-05,3.939767250256962e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,62,2.0,310.0,13.0,1200000000,-0.0001242920297293393,2.857511867781263e-05,-0.0001482142116669016,3.407492405169745e-05,3.93935990508601e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,63,2.0,315.0,13.0,1200000000,-0.0001367254984932521,3.144923824932454e-05,-0.0001368073004725898,3.146807730113362e-05,3.938939387631865e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,64,2.0,320.0,13.0,1200000000,-0.0001481172426394044,3.408888630139176e-05,-0.0001243593519794142,2.862107918579263e-05,3.938518433486866e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
L1_short_dipole_x_1p2G,65,2.0,325.0,13.0,1200000000,-0.0001583805383822495,3.647408386178392e-05,-0.0001109653231472142,2.555466965991747e-05,3.938109781440083e-08,orientation_x_short,level1_source_family_meshsafe_huygens,single_source_on,C:\csttmp\huy_sf_safe_efield96_s\L1_short_dipole_x_1p2G_efield96.cst,Farfields\farfield_1200MHz [1],FarfieldPlot linear E-field list evaluation
