candidate,candidate_method,requested_sensor_count,sensor_count,missing_sensor_count,lmax,lambda_reg,include_l0,mode_count,case_count,sample_count,mean_correlation,min_correlation,mean_nmse,max_nmse,mean_main_lobe_error_deg,max_main_lobe_error_deg,mean_nearfield_fit_relative_error,max_nearfield_fit_relative_error,min_farfield_total_complex_correlation_abs,max_farfield_total_complex_relative_l2_error,min_theta_farfield_complex_correlation_abs,min_phi_farfield_complex_correlation_abs,max_theta_farfield_error_to_total_norm,max_phi_farfield_error_to_total_norm,max_basis_condition,max_mode_sensor_ratio,any_component_underdetermined,status,status_rank
dictionary_weighted_32,dictionary_weighted,32,32,0,10,1e-06,False,120,2,2,0.5077661242950006,0.48961836096036626,0.6213166692721556,0.6331821651314964,112.11502371355778,130.29149283879332,2.2108577402002224e-07,2.228475333634441e-07,0.6521627941490846,0.7722498864803211,0.6521627941490835,0.6470547677766959,0.77224988648031,1.419144550951934e-07,1.8890168718835736,3.75,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,2,1e-10,False,8,2,2,0.9433278522990909,0.9400902417164292,0.04640706535549925,0.05468783876396829,74.83636566225417,130.29149283879332,0.12051849400185205,0.1272819181236306,0.9914043574610972,0.13265014129334254,0.9914043574611118,0.007710869554287113,0.13265014129321065,1.8716673717818608e-07,3.3420268317631554,0.25,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,2,0.0,False,8,2,2,0.9433278523011228,0.9400902417181839,0.046407065354735225,0.054687838763133864,74.83636566225417,130.29149283879332,0.12051849400185208,0.12728191812363063,0.9914043574605864,0.1326501413099735,0.9914043574606011,0.007710869554124485,0.1326501413098416,1.8716673717826835e-07,3.3420268317631554,0.25,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,2,1e-08,False,8,2,2,0.9433278520979265,0.9400902415427325,0.04640706543113972,0.0546878388465828,74.83636566225417,130.29149283879332,0.1205184940018523,0.12728191812363085,0.9914043575115895,0.1326501396468767,0.9914043575116042,0.007710869570388705,0.13265013964674482,1.8716673717004522e-07,3.3420268317631554,0.25,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,2,1e-06,False,8,2,2,0.9433278319814614,0.9400902241730247,0.04640707299521335,0.05468784710805649,74.83636566225417,130.29149283879332,0.12051849400428595,0.12728191812594178,0.9914043625608903,0.13264997500261516,0.9914043625609049,0.007710871180549557,0.1326499750024833,1.8716673635595445e-07,3.3420268317631554,0.25,False,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,6,0.0,False,48,2,2,0.7948028616457666,0.7921736358102806,0.33626008267800345,0.34246379270353416,110.14075655446186,154.5626327221981,2.9799308717449384e-15,2.983026659794684e-15,0.9712810371262997,0.2456698101946846,0.971281037126297,0.9373754422719147,0.2456698101946821,3.878633705943902e-08,17.78929770708824,1.5,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,6,1e-10,False,48,2,2,0.7948028617194804,0.7921736358849047,0.33626008262914864,0.3424637926511624,110.14075655446186,154.5626327221981,1.0846951197814296e-10,1.1242713570913512e-10,0.9712810371621685,0.24566981001351298,0.9712810371621662,0.9373754424036275,0.24566981001351051,3.878633701395589e-08,17.78929770708824,1.5,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,6,1e-08,False,48,2,2,0.7948028690068554,0.7921736432573288,0.3362600777902655,0.34246378742913886,110.14075655446186,154.5626327221981,1.0846970371523146e-08,1.1242718897176558e-08,0.9712810407093326,0.24566979209355108,0.97128104070933,0.9373754554457464,0.24566979209354858,3.878633251024161e-08,17.78929770708824,1.5,True,diagnostic_only,3
dictionary_weighted_32,dictionary_weighted,32,32,0,6,1e-06,False,48,2,2,0.794803597724572,0.7921743804855708,0.33625959389911264,0.3424632652606949,110.14075655446186,154.5626327221981,1.0846689918887297e-06,1.124241879172383e-06,0.9712813954111633,0.24566800016419635,0.9712813954111609,0.937376759585475,0.24566800016419388,3.8785882162263954e-08,17.78929770708824,1.5,True,diagnostic_only,3
dictionary_weighted_48,dictionary_weighted,48,48,0,4,1e-10,False,24,2,2,0.9996071217898191,0.9994219220746112,0.0006059308038794607,0.0009196012080022788,0.0,0.0,0.011294733795188194,0.013169611769453277,0.9992960645295766,0.03752945249651092,0.9992960645295764,0.742483188251517,0.03752945249650309,1.2893790955964137e-07,74.50915585792866,0.5,False,strict_pass,0
dictionary_weighted_48,dictionary_weighted,48,48,0,4,0.0,False,24,2,2,0.9996071217696614,0.9994219220484951,0.0006059309276923045,0.0009196013777246605,0.0,0.0,0.011294733795188186,0.013169611769453289,0.9992960645366195,0.03752945231051052,0.9992960645366195,0.7424831880016282,0.03752945231050269,1.2893790965237234e-07,74.50915585792866,0.5,False,strict_pass,0
dictionary_weighted_48,dictionary_weighted,48,48,0,4,1e-08,False,24,2,2,0.9996071237854425,0.9994219246600672,0.0006059185465598722,0.0009195844056745739,0.0,0.0,0.011294733795285252,0.013169611769539008,0.999296063832374,0.03752947091062341,0.999296063832374,0.742483212990513,0.03752947091061559,1.2893790037928457e-07,74.50915585792866,0.5,False,strict_pass,0
